ID,Title,Description,Type,Comments,Link 1,Link 2
id_a_f_123,BlogzIce/1.0 (+http://icerocket.com; rhodes@icerocket.com),IceRocket Web search robot,R,s. also BlogSearch ...,http://www.icerocket.com,
id_a_f_124,BlogzIce/1.0 +http://www.icerocket.com/,IceRocket Web search robot,R,s. also BlogSearch ...,http://www.icerocket.com,
id_a_f_310108_1,BloobyBot,Blooby search (beta) robot,R,206.166.206.18x,http://www.blooby.com/,
id_a_f_270507_1,Bloodhound/Nutch-0.9 (Testing Crawler for Research - obeys robots.txt and robots meta tags ; http://balihoo.com/index.aspx; robot at balihoo dot com),Balihoo - Search Engine for Advertising Media,R,204.228.230.xx,http://balihoo.com/,
id_a_f_125,bluefish 0.6 HTML editor,Bluefish HTML-editor for Linux,B,,http://bluefish.openoffice.nl/,
id_a_f_126,BMCLIENT,Part of ButtMan remote access tool,,seems to be a Trojan - see link,http://www.glocksoft.com/trojan_list/ButtMan.htm,
id_a_f_120506_1,BMLAUNCHER,Bookmark Express bookmark manager,C,Website is dead - was:,http://www.bookmarkexpress.com/,
id_a_f_127,Bobby/4.0.x RPT-HTTPClient/0.3-3E,Bobby web accessibility desktop testing tool,C,,http://bobby.watchfire.com/bobby/html/en/index.jsp,
id_a_f_128,boitho.com-dc/0.xx (http://www.boitho.com/dcbot.html),Boitho search (Norway) robot via 80.202.212.xx / 80.80.111.xx,R,,http://www.boitho.com,
id_a_f_129,boitho.com-robot/1.x,Boitho search (Norway) robot via 80.202.212.xx / 80.80.111.xx,R,,http://www.boitho.com,
id_a_f_130,boitho.com-robot/1.x (http://www.boitho.com/bot.html),Boitho search (Norway) robot via 80.202.212.xx / 80.80.111.xx,R,,http://www.boitho.com,
id_a_f_060806_1,Bookdog/x.x,Bookdog - Mac bookmark manager,C,,http://www.sheepsystems.com/bookdog/,
id_a_f_131,Bookmark Buddy bookmark checker (http://www.bookmarkbuddy.net/),Bookmark Buddy - favorite bookmark manager ,C,,http://www.bookmarkbuddy.net,
id_a_f_132,Bookmark Renewal Check Agent [http://www.bookmark.ne.jp/],Favourites managing program,C,,http://www.bookmark.ne.jp,
id_a_f_230807_1,Bookmark Renewal Check Agent [http://www.bookmark.ne.jp/] (Version 2.0beta),Favourites managing program,C,,http://www.bookmark.ne.jp,
id_a_f_300408_1,BookmarkBase(2/;http://bookmarkbase.com),Bookmark Base bookmark manager,C,,http://www.bookmarkbase.com/,
id_a_f_133,Bot mailto:craftbot@yahoo.com,cybercity.fr user robot / faked user agent ?,,,,
id_a_f_160308_1,BPImageWalker/2.0 (www.bdbrandprotect.com),BD-Brandprotect copyright infringement crawler,R,72.14.164.1xx,http://www.bdbrandprotect.com/,http://www.bdbrandprotect.com/solutions_5.html
id_a_f_134,BravoBrian bstop.bravobrian.it,BravoBrian bSTOP parental control,P R, s. also BStop,http://bstop.bravobrian.it/,
id_a_f_135,BravoBrian SpiderEngine MarcoPolo,Robot for BravoBrian bSTOP,R, s. also BStop,http://bstop.bravobrian.it/,
id_a_f_220508_1,BrightCrawler (http://www.brightcloud.com/brightcrawler.asp),BrightCloud web filtering for classifying websites,P R,,http://www.brightcloud.com/brightcrawler.asp,
id_a_f_136,BruinBot (+http://webarchive.cs.ucla.edu/bruinbot.html) ,Webarchive Project Bruinbot crawler,R,,http://webarchive.cs.ucla.edu,
id_a_f_137,BSDSeek/1.0,Inktomi (Hotbot-Lycos NBCi) robot,R,,http://www.inktomi.com/,
id_a_f_138,BStop.BravoBrian.it Agent Detector,BravoBrian bSTOP parental control,P R,s. also BravoBrian ..,http://bstop.bravobrian.it/,
id_a_f_139,BTbot/0.x (+http://www.btbot.com/btbot.html),BitTorrent Search Engine btbot robot,R,,http://www.btbot.com,
